Username,Classical_Rating,Classical_Games,Classical_RD,Rapid_Rating,Rapid_Games,Rapid_RD,Blitz_Rating,Blitz_Games,Blitz_RD,Bullet_Rating,Bullet_Games,Bullet_RD,Puzzle_Rating,Number_Of_Puzzles
yuvraj12345,1849,177,52.15,1830,130,54.30,1730,1,300.98,1402,2,230.89,1928,4
anar78,1500,0,500.00,2028,307,46.06,1907,367,100.58,1500,0,500.00,0,0
walakcebruno,1757,139,72.75,1747,323,55.12,1585,169,63.77,1102,84,64.12,1584,139
miguelolvidadizo,2002,213,102.38,2053,410,46.89,1500,526,45.24,1500,0,500.00,2262,1312
matias4573,1500,0,500.00,1069,68,57.16,1075,77,51.34,1174,10,112.45,1514,44
ilyablya,2118,4,194.46,1669,326,64.18,1319,17,101.12,1287,14,111.79,1681,93
tamirpo,1500,0,500.00,1956,560,45.51,1498,42,91.68,1640,796,57.96,1780,1402
yrasik,1614,48,125.85,1564,1309,46.59,1470,18,192.99,1269,1,339.41,1589,272
mmaaxxii,1082,1,336.51,1368,248,53.26,1221,95,45.05,965,3,210.20,1551,97
zzcheah,1756,43,120.72,2089,154,64.96,2027,944,49.72,1747,335,62.33,2254,256
vetalik_keks,1342,1,313.80,1717,4495,45.27,1530,253,48.65,1338,10,118.62,1804,170
abizn,1741,27,115.39,1805,485,68.28,1768,1198,45.07,1537,167,68.48,0,0
ybelskiy,1500,0,500.00,2015,10295,45.09,1420,22,123.89,1586,4,199.14,1837,6761
eagul,1212,1,298.14,1654,1220,45.14,1267,75,61.80,1037,305,48.67,1658,62
drleckter,1500,0,500.00,1408,980,45.00,1331,1,302.45,1500,0,500.00,1574,235
navabkhoshnood1400,1814,10,128.86,1856,676,45.17,1455,322,45.11,1210,1,299.99,1769,185
eruschin_andrei,993,6,199.42,1261,84,64.25,1345,71,55.42,1230,25,90.56,1735,21
vamolina,1847,50,78.76,1967,266,45.86,1892,1795,46.50,1706,65,63.14,2221,140
diggs,1470,1,392.92,1603,85,50.41,1060,29,67.16,1068,2,231.23,1544,4
drbibber,1500,0,500.00,2220,703,46.73,1980,141,45.03,1164,2,243.89,1863,5
maskulinman,1712,7,199.35,2149,307,62.70,2154,10761,45.06,1985,1257,61.71,2120,277
supergm777,1719,10,125.05,1729,429,45.00,1554,410,45.12,1336,111,56.40,1598,4
aszharion,1616,38,153.17,1683,125,47.80,1214,20,103.90,904,567,129.70,1835,1195
cjieiioi123,1851,792,54.42,1662,95,45.31,1166,10,191.23,1500,0,500.00,1561,60
mandalinagoktu,1500,0,500.00,1757,879,45.04,1168,344,90.28,1189,1,297.34,1509,291
hacke123,1500,0,500.00,1797,61,61.97,1580,253,45.27,1142,163,45.12,1897,2689
kbasia2000,1500,0,500.00,932,261,45.51,854,7,146.62,1108,1,315.49,984,60
gagidjuric,2035,49,63.93,2098,163,57.14,1947,2053,45.99,1642,345,52.99,1761,233
sonfecianil,1500,0,500.00,1573,68,53.95,1262,738,45.00,1011,256,46.67,1641,105
jmcurdam,1500,0,500.00,1726,188,47.94,1810,387,47.44,1636,54,108.50,0,0
reformedmo,1500,0,500.00,1163,145,45.10,915,7,138.92,869,55,61.63,0,0
bullirajumudunuri,1500,0,500.00,1270,921,45.05,930,641,47.18,1029,5,169.99,0,0
hamidshatranj07,1557,2,228.55,1988,452,46.64,1500,0,500.00,1500,0,500.00,1766,19
antipinanton,1500,0,500.00,1717,578,54.84,1500,0,500.00,1500,0,500.00,1728,24
dokuu,1303,1,300.22,1471,467,45.09,1064,2,235.25,1500,0,500.00,1194,2
atharvatadas,1500,0,500.00,1445,115,55.72,1118,83,54.63,1039,6,154.46,1722,1124
hamedmordo,1348,1,319.44,1481,229,45.03,1083,16,114.82,1500,0,500.00,1421,49
girigt,1639,15,105.17,1781,638,49.01,1644,166,45.02,1268,10,121.92,1716,44
zharkov20,1542,2,252.27,1530,85,63.25,1407,46,101.92,1059,11,106.80,0,0
grumsi,1500,0,500.00,2006,206,55.73,1920,250,52.68,1500,0,500.00,2230,199
dmbryunin,1359,126,86.18,1494,477,51.59,1377,1,335.07,1500,0,500.00,1491,1714
rostek,1745,10,165.12,1678,1151,45.01,1302,165,58.26,1315,10,121.54,1927,4442
